,dimensions,model,mse,parameters,reduction technique
0,10,RandomForest,0.3268755086471231,"{'bootstrap': True, 'min_samples_split': 3, 'max_depth': None, 'criterion': 'mse', 'max_features': 'auto', 'min_samples_leaf': 10}",pca_reduce
1,10,RandomForest,0.31107528369723003,"{'bootstrap': True, 'min_samples_split': 2, 'max_depth': 3, 'criterion': 'mse', 'max_features': 3, 'min_samples_leaf': 10}",isomap_reduce
2,20,RandomForest,0.30936377480999694,"{'bootstrap': True, 'min_samples_split': 3, 'max_depth': 3, 'criterion': 'mse', 'max_features': 'auto', 'min_samples_leaf': 3}",pca_reduce
3,20,RandomForest,0.344589540990251,"{'bootstrap': True, 'min_samples_split': 3, 'max_depth': 3, 'criterion': 'mse', 'max_features': 10, 'min_samples_leaf': 3}",isomap_reduce
4,30,RandomForest,0.2949767147023321,"{'bootstrap': True, 'min_samples_split': 10, 'max_depth': None, 'criterion': 'mse', 'max_features': 10, 'min_samples_leaf': 10}",pca_reduce
5,30,RandomForest,0.3199278310066225,"{'bootstrap': True, 'min_samples_split': 3, 'max_depth': 3, 'criterion': 'mse', 'max_features': 'auto', 'min_samples_leaf': 1}",isomap_reduce
