,dimensions,model,mse,parameters,reduction technique
0,10,RandomForest,0.3776968222321766,"{'bootstrap': False, 'min_samples_split': 10, 'max_depth': None, 'criterion': 'mse', 'max_features': 'log2', 'min_samples_leaf': 10}",pca_reduce
1,10,RandomForest,0.3739093222411327,"{'bootstrap': True, 'min_samples_split': 3, 'max_depth': 3, 'criterion': 'mse', 'max_features': 10, 'min_samples_leaf': 1}",isomap_reduce
2,20,RandomForest,0.38917329869718653,"{'bootstrap': False, 'min_samples_split': 2, 'max_depth': None, 'criterion': 'mse', 'max_features': 10, 'min_samples_leaf': 3}",pca_reduce
3,20,RandomForest,0.37457732168871294,"{'bootstrap': False, 'min_samples_split': 10, 'max_depth': None, 'criterion': 'mse', 'max_features': 3, 'min_samples_leaf': 10}",isomap_reduce
4,30,RandomForest,0.33891410778314596,"{'bootstrap': False, 'min_samples_split': 3, 'max_depth': None, 'criterion': 'mse', 'max_features': 10, 'min_samples_leaf': 10}",pca_reduce
5,30,RandomForest,0.3442879797438521,"{'bootstrap': True, 'min_samples_split': 2, 'max_depth': 3, 'criterion': 'mse', 'max_features': 'auto', 'min_samples_leaf': 3}",isomap_reduce
